video_path	gt	pred	max_streak
adl-01-cam0-rgb	0	0	1
adl-02-cam0-rgb	0	0	0
adl-03-cam0-rgb	0	0	0
adl-04-cam0-rgb	0	0	0
adl-05-cam0-rgb	0	0	0
adl-06-cam0-rgb	0	0	0
adl-07-cam0-rgb	0	0	0
adl-08-cam0-rgb	0	0	0
adl-09-cam0-rgb	0	0	0
adl-10-cam0-rgb	0	0	1
adl-11-cam0-rgb	0	0	2
adl-12-cam0-rgb	0	0	1
adl-13-cam0-rgb	0	0	3
adl-14-cam0-rgb	0	0	1
adl-15-cam0-rgb	0	0	0
adl-16-cam0-rgb	0	0	1
adl-17-cam0-rgb	0	0	1
adl-18-cam0-rgb	0	0	0
adl-19-cam0-rgb	0	0	1
adl-20-cam0-rgb	0	0	0
adl-21-cam0-rgb	0	0	0
adl-22-cam0-rgb	0	0	0
adl-23-cam0-rgb	0	0	0
adl-24-cam0-rgb	0	0	0
adl-25-cam0-rgb	0	0	0
adl-26-cam0-rgb	0	0	1
adl-27-cam0-rgb	0	0	1
adl-28-cam0-rgb	0	0	0
adl-29-cam0-rgb	0	0	1
adl-30-cam0-rgb	0	0	3
adl-31-cam0-rgb	0	0	1
adl-32-cam0-rgb	0	0	2
adl-33-cam0-rgb	0	0	1
adl-34-cam0-rgb	0	0	1
adl-35-cam0-rgb	0	0	4
adl-36-cam0-rgb	0	0	4
adl-37-cam0-rgb	0	1	6
adl-38-cam0-rgb	0	1	7
adl-39-cam0-rgb	0	0	2
adl-40-cam0-rgb	0	0	2
fall-01-cam0-rgb	1	0	3
fall-02-cam0-rgb	1	0	4
fall-03-cam0-rgb	1	0	1
fall-04-cam0-rgb	1	1	5
fall-05-cam0-rgb	1	0	3
fall-06-cam0-rgb	1	0	4
fall-07-cam0-rgb	1	0	3
fall-08-cam0-rgb	1	0	1
fall-09-cam0-rgb	1	0	3
fall-10-cam0-rgb	1	1	5
fall-11-cam0-rgb	1	1	5
fall-12-cam0-rgb	1	0	4
fall-13-cam0-rgb	1	0	2
fall-14-cam0-rgb	1	0	3
fall-15-cam0-rgb	1	0	2
fall-16-cam0-rgb	1	0	1
fall-17-cam0-rgb	1	0	1
fall-18-cam0-rgb	1	0	3
fall-19-cam0-rgb	1	0	2
fall-20-cam0-rgb	1	0	1
fall-21-cam0-rgb	1	0	1
fall-22-cam0-rgb	1	0	2
fall-23-cam0-rgb	1	0	2
fall-24-cam0-rgb	1	0	3
fall-25-cam0-rgb	1	0	0
fall-26-cam0-rgb	1	0	3
fall-27-cam0-rgb	1	0	2
fall-28-cam0-rgb	1	0	1
fall-29-cam0-rgb	1	0	1
fall-30-cam0-rgb	1	0	3

Overall	3	2	38	27	0.6000	0.1000	0.1714
